# data1
# x1,y1
# float, float
-0.44,1.92
-0.82,-0.21
0.13,1.25
-1.62,-1.78
-1.13,-0.07
0.88,0.16
0.65,1.84
-0.29,0.37
-0.16,0.30
0.71,-0.50
0.08,-0.24
-1.32,0.67
-0.43,0.91
0.29,0.91
# data2
# x2,y2
# float, float
1.54,-0.49
0.39,-0.25
-0.74,0.62
1.06,1.11
20.90,10.52
17.98,14.07
19.38,32.60
10.87,14.20
12.06,20.86
16.95,33.03
27.33,8.74
24.70,23.64
-0.10,-1.61
0.48,-0.01
# data3
# x3,y3
# float, float
21.18,7.83
12.28,17.73
12.44,24.55
28.26,19.15
14.98,6.49
18.60,7.09
24.39,17.12
21.30,32.73
14.86,32.76
18.93,16.62
20.66,-1.61
10.40,31.37
